#Frame	Avg_O1-H	Avg_Tilt	OH_count	Valid_HB_Count	Avg_H-O2	Avg_O1-H-O2_Angle
1	0.9773777086592836	-17.110577670478055	20	20	2.1144162428955933	163.37812986750527
2	0.9768097674073285	-17.07388124032947	20	20	2.1134452324394917	163.3770685965112
3	0.9766569283925499	-17.01240277696109	20	20	2.1124071769786728	163.32007377587036
4	0.9766016183886664	-16.951985492429515	20	20	2.111435380866102	163.24159649884507
5	0.9769595463174424	-16.87551503231171	20	20	2.1103076583431144	163.10754398013842
6	0.9776998698587762	-16.776287493844688	20	20	2.109015401728195	162.92823987728525
7	0.9785874066998759	-16.67614522230958	20	20	2.1078314130799556	162.70907015449012
8	0.979863976421375	-16.577750656356223	20	19	2.0880139158280344	162.79697243550876
9	0.9812631747252114	-16.480374119125884	20	19	2.0867233824628073	162.54740488796054
10	0.982295187137179	-16.39415878511682	20	19	2.085939230785308	162.26773264378915
11	0.9826880141831389	-16.287183020914924	20	19	2.085966238297838	161.95663372907683
12	0.9825649724139309	-16.21448698458604	20	19	2.0865659394366944	161.63628552689553
13	0.9819544052349606	-16.1423980672714	20	19	2.0876948553006907	161.32359970638362
14	0.9810148345630401	-16.07940905482981	20	19	2.0892831969812415	161.00920845832522
15	0.9797954818543946	-16.0330272512845	20	19	2.0912000961323636	160.70184422482671
16	0.9782534361216797	-15.988277598327619	20	19	2.0934922794693933	160.41024173893555
17	0.9766559316051424	-15.946617511439726	20	19	2.0958291767930683	160.13886514549506
18	0.9752920896683296	-15.915760080072555	20	19	2.097834362168645	159.88920958560237
19	0.9741519027306115	-15.89475187804069	20	19	2.099582421338495	159.65592718315997
20	0.9732709417123235	-15.862292453898231	20	19	2.1010636477599447	159.43859532973627
21	0.972974048978443	-15.817424110652473	20	19	2.102166184717517	159.1946761250292
22	0.9730876460810707	-15.771642920599149	20	19	2.1030682672686196	158.92768140174255
23	0.9737852099929352	-15.719397305370512	20	19	2.1034364966596333	158.6344350928767
24	0.9749664694348521	-15.6689132727121	20	19	2.10347273203976	158.34323073384843
25	0.9766002709462791	-15.618119106646953	20	19	2.103095635147654	158.05835158308315
26	0.9787688652658492	-15.566037909122022	20	19	2.1022018807371157	157.7855000722335
27	0.9804655731727403	-15.524487181199131	20	19	2.10177956365636	157.52268768337134
28	0.9817147817336164	-15.478591037595493	20	19	2.101800285635441	157.28817242508808
29	0.9829606325346013	-15.438972347682418	20	19	2.1017171877574348	157.08500749438312
30	0.983914181943239	-15.410451303005175	20	19	2.101920211340334	156.91128260615224
31	0.984311108858436	-15.395296999417406	20	19	2.1025796626482283	156.75899778651907
32	0.9839086014518024	-15.386463393572441	20	19	2.103842650784056	156.64644624798257
33	0.9826240155443736	-15.38141458473354	20	19	2.1060417734341104	156.53421687801304
34	0.9806839455666676	-15.376461276106406	20	20	2.126699866844238	155.39045399096267
35	0.9780445354495028	-15.383932265340537	20	20	2.1298523282542	155.32466841032118
36	0.9754852754986356	-15.39765903826654	20	20	2.132896761152991	155.2712445133788
37	0.9734082083354162	-15.408240110455424	20	20	2.13543835178458	155.22158708969053
38	0.9718121743729276	-15.419958946404677	20	20	2.137550157053493	155.19179480122116
39	0.9711715785039123	-15.433124922754178	20	20	2.13886478765638	155.1611494701477
40	0.9715663763717565	-15.447040619170895	20	20	2.1393517986443076	155.12419327491872
41	0.9724941334666601	-15.46889936666922	20	20	2.1392720806155126	155.11414546772932
42	0.9740521928465947	-15.482136666170154	20	20	2.1385705602657774	155.12110101469955
43	0.9759816762178598	-15.495458113311054	20	20	2.137575228518698	155.1256201618755
44	0.9780575805027519	-15.496877661714986	20	20	2.1366806886006353	155.1125167144435
45	0.9801644659033496	-15.495876043681548	20	20	2.1357337370826235	155.12261269476443
46	0.982110521737207	-15.50619593441478	20	20	2.1348506123547164	155.18503755325054
47	0.9831549493393638	-15.515477183318941	20	20	2.134675924923543	155.2968841883142
48	0.9834296343735771	-15.528718879456264	20	20	2.1350945804985124	155.4547716459821
49	0.9831503972915481	-15.536266233971025	20	20	2.13597823951703	155.62798185427644
50	0.9824854745240958	-15.533052657621422	20	20	2.137265946444152	155.77447235994512
51	0.9814351040872058	-15.521842218282492	20	20	2.1389512212042585	155.81815550306248
52	0.9795090038834939	-15.51917977706069	20	20	2.1412418187963014	155.8727411099199
53	0.9775229849861203	-15.521404330483184	20	20	2.1436037069355	155.93916209328543
54	0.975740226423907	-15.504770588938353	20	20	2.1459507696820763	155.98862166173606
55	0.9739717525400617	-15.493114001929332	20	20	2.148224138469888	156.06726823517099
56	0.9725476211780981	-15.495526842501198	20	20	2.1502182751938683	156.15410862736204
57	0.9720092679832092	-15.48484907663487	20	20	2.1515055364405256	156.24110219312928
58	0.9724119644298364	-15.48594395403276	20	20	2.1519961392909166	156.31592360400538
59	0.9736579551775335	-15.469214432789034	20	20	2.152091832225106	156.35716308201702
60	0.975560112432085	-15.465794017110474	20	20	2.1512204608229495	155.57979374389538
61	0.9779295320666002	-15.452442923134376	20	20	2.1495177846550577	155.78889723334936
62	0.9804612481176243	-15.42842638443175	20	20	2.1478600330614936	155.97868380648978
63	0.9824706582965774	-15.412409428899789	20	20	2.146920561206165	156.1371280640442
64	0.9840998018136821	-15.380231021761523	20	20	2.146397733500531	156.2759746906873
65	0.9850074261185217	-15.345059496313755	20	19	2.1357829181516865	156.07572266041132
66	0.9848952788185651	-15.31824881996529	20	19	2.136652052334049	156.2339076954045
67	0.9841518027324699	-15.276539383802216	20	19	2.1383579190796898	156.38010474495752
68	0.9826644680816206	-15.220323746706995	20	19	2.140847315261535	156.507173357665
69	0.9807323955229679	-15.162569536089416	20	18	2.1222170595237104	158.63780718768942
70	0.978213514633835	-15.090126920788455	20	18	2.125890581620082	158.7303300135328
71	0.9757584023513071	-15.000087935542087	20	18	2.1295740787811392	158.77409682244877
72	0.9738325033603022	-14.902365243340707	20	18	2.1329470758089126	158.774604896181
73	0.9723324965736021	-14.790575361703526	20	18	2.13604886133985	158.7023533922023
74	0.9713442558875887	-14.668658713290517	20	18	2.138646549211382	158.64073249616695
75	0.9711062171325491	-14.563913832389924	20	18	2.1405071228223	158.55776192945572
76	0.971854373838801	-14.461573451589857	20	18	2.1416194315398496	158.43583626370423
77	0.9733422593056238	-14.361052218428338	20	18	2.142048156487828	158.3034473614671
78	0.9754723530263346	-14.249890888985652	20	18	2.1420218802236213	158.16470196599252
79	0.9778641025351533	-14.130535837612266	20	18	2.1419176504673705	158.02013397026928
80	0.9799542649258655	-14.034827187590698	20	18	2.1419977627025943	157.87143824678017
81	0.9815312304851831	-13.946331668184857	20	18	2.1428849497485243	157.7137385349148
82	0.9824662167158074	-13.859445945622955	20	18	2.14438995142828	157.53778554562848
83	0.9826705255804542	-13.789272351260134	20	18	2.1468569067633663	157.36006772776963
84	0.9821713717095925	-13.732866873863674	20	18	2.1500187771296413	157.19249412291754
85	0.9809207719530185	-13.6857278807415	20	18	2.1538549648999137	157.06598626741555
86	0.979159837710782	-13.675621573245682	20	19	2.1727426903560674	156.4277316981473
87	0.9768796571064327	-13.65644625674688	20	19	2.177600317678271	156.30202379214182
88	0.974705958907555	-13.639062733627782	20	19	2.1824064821917513	156.16260744673875
89	0.9732350345881702	-13.636971399362096	20	19	2.1865735473005556	156.03486089565152
90	0.9723754959089626	-13.642487990201577	20	19	2.1900092808030736	155.93252697811707
91	0.9721739260421016	-13.639356137880062	20	19	2.1930095902745372	155.8210193875469
92	0.972819874397629	-13.648142440253812	20	19	2.1952232456401064	155.70095743164643
93	0.9740089596128616	-13.647679569607584	20	19	2.19672339646609	155.62867273575247
94	0.9755090387413177	-13.65019096686824	20	19	2.1979454308543893	155.56194638673782
95	0.9771385324437073	-13.664996724447809	20	19	2.198194370180859	155.8044962003507
96	0.9784440279330692	-13.694632889412919	20	19	2.1987795490705935	155.8431531009033
97	0.9795355378725364	-13.744730092338491	20	19	2.199553776734963	155.91270671613006
98	0.9803887408612482	-13.796620190759379	20	19	2.2004168114365292	156.01223852423007
99	0.9806882847381363	-13.86150968715213	20	19	2.20172664527386	155.99690572598885
100	0.9806733321289307	-13.927781019975527	20	19	2.2032718860649325	155.61483616430095
101	0.9799935226480457	-13.980138434823193	20	19	2.2051410355032415	155.6358697258981
102	0.9788511862253871	-14.041870470500346	20	19	2.2074346454765044	155.71117627443616
103	0.9772824698386703	-14.105306221007936	20	19	2.2102038445372396	155.7829134468644
104	0.9757176925401628	-14.169484036821075	20	19	2.2130585991367724	155.8519931569546
105	0.974462684647801	-14.229514891877098	20	19	2.2155614980098677	155.89815812840524
106	0.973365515818046	-14.28324258079156	20	19	2.217950150660073	155.9233794636776
107	0.9727758444640493	-14.332425143822846	20	19	2.21984617777177	155.9443076267436
108	0.9728015119695288	-14.378055254195115	20	19	2.220602034671282	153.08936856536786
109	0.9733604853962824	-14.425206390838806	20	19	2.2206037122720033	153.12343141608235
110	0.9741302409686646	-14.480015195723462	20	19	2.2206430747219255	153.13667570555654
111	0.9749900285781974	-14.523723406334586	20	19	2.2204909384542986	153.16245361711094
112	0.976069710371028	-14.57952879978078	20	19	2.2203610239344584	153.18169368029257
113	0.9773039536625353	-14.639536155638677	20	19	2.219927027738681	153.3884583855121
114	0.9787273490367785	-14.698571879611205	20	19	2.2194798526358586	153.39439482024528
115	0.9799817723981565	-14.7423161391884	20	19	2.219266712384054	153.3861501562579
116	0.9808767491018356	-14.78813483742555	20	19	2.219408310050259	153.369731183034
117	0.9811599503519168	-14.815614125651763	20	19	2.219969372663569	153.369123381242
118	0.9806140567467267	-14.857545102800538	20	19	2.221414789468884	153.3493289111364
119	0.9797520083407397	-14.894367420666379	20	19	2.223079098260955	153.35145657278835
120	0.9782908344916192	-14.933883045264887	20	19	2.225004135209025	153.3800786879886
121	0.9763817071330102	-14.967641923407507	20	19	2.227013028901216	153.4514467168266
122	0.9743099440163382	-15.002938299022588	20	19	2.229013264836219	153.52827674991727
123	0.9724652585910096	-15.059996135793222	20	19	2.230649503087412	153.61116713254364
124	0.9712433495197927	-15.126061273531821	20	19	2.231710538585174	153.68215906741352
125	0.97039741922808	-15.180097308911646	20	19	2.232319300795419	153.76580710656975
126	0.9701783048863482	-15.23563081840382	20	19	2.232262112379746	153.86482155913544
127	0.9707476204175105	-15.270844901127926	20	19	2.2315916761349976	153.96836572452494
128	0.9718710604236932	-15.30227274497634	20	19	2.2302101750648715	154.10017075799664
129	0.9734401562794899	-15.339736995521339	20	19	2.228347906420652	154.25671402575333
130	0.9752976784383522	-15.367281774365813	20	19	2.226521107528537	154.3812636812038
131	0.9772965662465041	-15.40093189326917	20	19	2.224560916419555	154.53500367629192
132	0.9791511356990318	-15.420440304170242	20	19	2.2228442947326976	154.68923350145414
133	0.9806476446067791	-15.439291173118002	20	19	2.221512706774865	154.86402164946722
134	0.9815646525182504	-15.463967211628079	20	19	2.2208435174394703	155.05086960241871
135	0.9823851843135192	-15.484399822005553	20	19	2.220284735449314	155.24406905127535
136	0.9827270534646448	-15.503796964057468	20	19	2.2201980866882445	155.4298557804275
137	0.9824357501016957	-15.521173803470484	20	19	2.220689616026219	155.6052865421394
138	0.9816053888889591	-15.518026987927588	20	19	2.221700275782358	155.74059277532336
139	0.9799510754784693	-15.495491227381484	20	19	2.2232373251551745	155.86368147498487
140	0.9780506961448816	-15.481670301933502	20	19	2.224745065735556	155.95274243871214
141	0.9758546903557628	-15.467404062449077	20	19	2.226532754771082	156.00825357267146
142	0.9739774528650192	-15.448705749220522	20	19	2.2281162316846466	156.00636850332145
143	0.9726471883799592	-15.405925663117511	20	19	2.229287595968742	155.97590669756426
144	0.97214358364467	-15.363619706443322	20	19	2.2297694235783623	155.93136983314176
145	0.9724727544774859	-15.309569929467969	20	19	2.2296554735628575	155.85766808903497
146	0.9735270307472967	-15.254876804056375	20	19	2.228996577066293	155.78843260269602
147	0.9752992249740888	-15.1996351612333	20	19	2.2278484681613335	155.70217739584896
148	0.9775065756333229	-15.138992087870836	20	19	2.2265642158389936	155.59499387219677
149	0.9796912521514057	-15.062168786004818	20	19	2.2256117402339237	155.47317555303172
150	0.9815762515668707	-14.973507456749152	20	19	2.225238006076347	155.3290858550973
151	0.98272303678106	-14.868454069300501	20	19	2.225735885720512	155.150475155951
152	0.983331930946785	-14.754992121394741	20	19	2.226888555556138	154.92023301123632
153	0.9830060191809729	-14.6487320214042	20	19	2.2288482082513097	154.70686776318774
154	0.9823507692770199	-14.562085822417151	20	19	2.231016098737629	154.94032973839532
155	0.9809610371348347	-14.49906154964574	20	18	2.2160760555199404	153.74054550996573
156	0.9790207934318259	-14.42154586486583	20	18	2.218433184948895	153.73990692593756
157	0.9767597925412946	-14.344593867530268	20	17	2.202576674981205	153.1990164246001
158	0.9745209895006107	-14.267428104684337	20	17	2.2048585415446005	153.28348047175874
159	0.9727478386858515	-14.188313219390446	20	16	2.1786153465365317	153.26479310038997
160	0.971120516361981	-14.116917329831793	20	16	2.1807878752223386	153.26706640855951
161	0.9702941316759794	-14.034328909985225	20	16	2.182459368721656	153.25476263050172
162	0.9702892042531168	-13.95748599177405	20	16	2.1837520819880987	153.22764612539999
163	0.9712830202996912	-13.911543740294624	20	16	2.18398170743626	153.23226545825085
164	0.972752582398224	-13.862008533873421	20	16	2.183583665304435	153.2310191071901
165	0.974837554463773	-13.821718558592062	20	15	2.1633879569109715	154.99341683536093
166	0.9772624368724075	-13.788268124643599	20	15	2.161225502625973	155.02409687961386
167	0.9796917644175751	-13.758446843994403	20	15	2.159144991330425	155.05943248632366
168	0.981968726050529	-13.728532933441352	20	15	2.1571190412520918	155.096389412183
169	0.9837571656446954	-13.703984430859782	20	15	2.1554340402605163	155.13639623223972
170	0.9845405455403737	-13.693208231612285	20	15	2.1547159719481077	155.16017110828423
171	0.984285585124074	-13.677802648074827	20	15	2.1549951525756343	155.17907214944253
172	0.9830931404471546	-13.678919885802054	20	15	2.156315067479904	155.19287073817796
173	0.9815595318084389	-13.671914129953379	20	14	2.1318630209199463	154.9479018515229
174	0.9792814230910503	-13.662202038812648	20	14	2.1343721080473226	154.96226213979955
175	0.9766489307176643	-13.658215097920541	20	14	2.1371079710724596	155.00787581376696
176	0.9738760848359991	-13.666984091543622	20	14	2.140081679365136	155.0280981795583
177	0.971563735970457	-13.689064223337052	20	14	2.142497077358633	155.06250121881467
178	0.9699763356169508	-13.725193940884585	20	14	2.1440757322713204	155.09630216973446
179	0.9694617114689101	-13.763696720515066	20	14	2.145020964497638	155.09285394891404
180	0.969765062895444	-13.804821544493592	20	14	2.1451919736434637	155.10752038766827
181	0.9707503515330445	-13.859699077104825	20	15	2.173144813792992	155.53265447387574
182	0.9726791771958896	-13.92513768286818	20	16	2.1988242393252033	154.75222341948069
183	0.975060787887975	-13.985205180410972	20	16	2.1949247326178165	154.99702428984762
184	0.9775274842891013	-14.047370368999685	20	16	2.191027874815066	155.27565043280646
185	0.9801668886515558	-14.120539640244306	20	16	2.1871535069937593	155.58393000660067
